Database	Gene	Serotype	Identity	Template / HSP length	Contig	Position in contig	Accession number	SRR6875375
O_type	wzy	O117	100.0	1323 / 1323	contig00002 len=619214 cov=16.4 corr=0 origname=NODE_2_length_619214_cov_16.386316_pilon sw=shovill-spades/1.0.9 date=20210127	30159..31481	EU694096	SRR11892848
O_type	wzx	O117	100.0	1218 / 1218	contig00002 len=619214 cov=16.4 corr=0 origname=NODE_2_length_619214_cov_16.386316_pilon sw=shovill-spades/1.0.9 date=20210127	31474..32691	EU694096	SRR11892848
H_type	fliC	H31	100.0	1668 / 1668	contig00005 len=343820 cov=25.0 corr=0 origname=NODE_5_length_343820_cov_25.018094_pilon sw=shovill-spades/1.0.9 date=20210127	155470..157137	CP000247	MVAST6306
O_type	wzy	O18	100.0	1191 / 1191	contig00018 len=54389 cov=26.1 corr=0 origname=NODE_18_length_54389_cov_26.139209_pilon sw=shovill-spades/1.0.9 date=20210127	8526..9716	GU299793	MVAST6306
O_type	wzy	O18ac	100.0	1146 / 1146	contig00018 len=54389 cov=26.1 corr=0 origname=NODE_18_length_54389_cov_26.139209_pilon sw=shovill-spades/1.0.9 date=20210127	8526..9671	AB811603	MVAST6306
O_type	wzx	O18ac	100.0	1248 / 1248	contig00018 len=54389 cov=26.1 corr=0 origname=NODE_18_length_54389_cov_26.139209_pilon sw=shovill-spades/1.0.9 date=20210127	9773..11020	GU299793	MVAST6306
H_type	fliC	H31	100.0	1668 / 1668	contig00016 len=147028 cov=28.6 corr=0 origname=NODE_16_length_147028_cov_28.630990_pilon sw=shovill-spades/1.0.9 date=20210126	49518..51185	CP000247	SRR12387678
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=351014 cov=31.5 corr=0 origname=NODE_2_length_351014_cov_31.475831_pilon sw=shovill-spades/1.0.9 date=20210126	98908..100350	AB812035	SRR12387678
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=1137576 cov=22.6 corr=0 origname=NODE_2_length_1137576_cov_22.608019_pilon sw=shovill-spades/1.0.9 date=20210127	750994..752661	CP000247	SRR7064471
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=1137576 cov=22.6 corr=0 origname=NODE_2_length_1137576_cov_22.608019_pilon sw=shovill-spades/1.0.9 date=20210127	582177..583619	AB812035	SRR7064471
H_type	fliC	H31	100.0	1668 / 1668	contig00010 len=146876 cov=9.9 corr=0 origname=NODE_10_length_146876_cov_9.894875_pilon sw=shovill-spades/1.0.9 date=20210127	21210..22877	CP000247	SRR11451396
O_type	wzx	O15	100.0	1245 / 1245	contig00002 len=618278 cov=10.4 corr=0 origname=NODE_2_length_618278_cov_10.413996_pilon sw=shovill-spades/1.0.9 date=20210127	33922..35166	AY647261	SRR11451396
O_type	wzy	O15	100.0	1179 / 1179	contig00002 len=618278 cov=10.4 corr=0 origname=NODE_2_length_618278_cov_10.413996_pilon sw=shovill-spades/1.0.9 date=20210127	31711..32889	AY647261	SRR11451396
H_type	fliC	H28	100.0	1740 / 1740	contig00003 len=528654 cov=20.8 corr=0 origname=NODE_3_length_528654_cov_20.839022_pilon sw=shovill-spades/1.0.9 date=20210126	427994..429733	AAJT02000052	SRR12845405
O_type	wzy	O117	100.0	1323 / 1323	contig00002 len=660304 cov=23.6 corr=0 origname=NODE_2_length_660304_cov_23.556754_pilon sw=shovill-spades/1.0.9 date=20210126	628824..630146	EU694096	SRR12845405
O_type	wzx	O117	100.0	1218 / 1218	contig00002 len=660304 cov=23.6 corr=0 origname=NODE_2_length_660304_cov_23.556754_pilon sw=shovill-spades/1.0.9 date=20210126	627614..628831	EU694096	SRR12845405
H_type	fliC	H14	96.79	1653 / 1653	contig00004 len=470605 cov=26.9 corr=0 origname=NODE_4_length_470605_cov_26.851557_pilon sw=shovill-spades/1.0.9 date=20210126	361281..362933	AY249998	SRR10814974
O_type	wzx	O21	99.92	1236 / 1236	contig00003 len=624154 cov=28.9 corr=0 origname=NODE_3_length_624154_cov_28.927186_pilon sw=shovill-spades/1.0.9 date=20210126	592671..593906	EU694098	SRR10814974
O_type	wzy	O21	100.0	1083 / 1083	contig00003 len=624154 cov=28.9 corr=0 origname=NODE_3_length_624154_cov_28.927186_pilon sw=shovill-spades/1.0.9 date=20210126	596195..597277	EU694098	SRR10814974
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=508037 cov=32.0 corr=0 origname=NODE_2_length_508037_cov_31.990477_pilon sw=shovill-spades/1.0.9 date=20210126	70276..71943	CP000247	MVC494
O_type	wzx	O88	100.0	1458 / 1458	contig00003 len=469313 cov=31.7 corr=0 origname=NODE_3_length_469313_cov_31.659908_pilon sw=shovill-spades/1.0.9 date=20210126	435401..436858	AB812037	MVC494
O_type	wzy	O88	99.69	1275 / 1275	contig00003 len=469313 cov=31.7 corr=0 origname=NODE_3_length_469313_cov_31.659908_pilon sw=shovill-spades/1.0.9 date=20210126	437787..439057	AB812037	MVC494
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1028008 cov=24.4 corr=0 origname=NODE_1_length_1028008_cov_24.445304_pilon sw=shovill-spades/1.0.9 date=20210127	427977..429644	CP000247	MVAST6003
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1028008 cov=24.4 corr=0 origname=NODE_1_length_1028008_cov_24.445304_pilon sw=shovill-spades/1.0.9 date=20210127	597087..598529	AB812035	MVAST6003
H_type	fliC	H31	100.0	1668 / 1668	contig00006 len=278953 cov=21.7 corr=0 origname=NODE_6_length_278953_cov_21.739652_pilon sw=shovill-spades/1.0.9 date=20210127	155474..157141	CP000247	MVAST6839
O_type	wzy	O18	100.0	1191 / 1191	contig00019 len=68621 cov=22.8 corr=0 origname=NODE_19_length_68621_cov_22.830098_pilon sw=shovill-spades/1.0.9 date=20210127	63835..65025	GU299793	MVAST6839
O_type	wzy	O18ac	100.0	1146 / 1146	contig00019 len=68621 cov=22.8 corr=0 origname=NODE_19_length_68621_cov_22.830098_pilon sw=shovill-spades/1.0.9 date=20210127	63880..65025	AB811603	MVAST6839
O_type	wzx	O18ac	100.0	1248 / 1248	contig00019 len=68621 cov=22.8 corr=0 origname=NODE_19_length_68621_cov_22.830098_pilon sw=shovill-spades/1.0.9 date=20210127	62531..63778	GU299793	MVAST6839
H_type	fliC	H31	100.0	1668 / 1668	contig00006 len=281784 cov=23.2 corr=0 origname=NODE_6_length_281784_cov_23.233104_pilon sw=shovill-spades/1.0.9 date=20210127	27232..28899	CP000247	MVAST4963
O_type	wzx	O21	100.0	1236 / 1236	contig00001 len=497272 cov=23.6 corr=0 origname=NODE_1_length_497272_cov_23.622141_pilon sw=shovill-spades/1.0.9 date=20210127	468352..469587	EU694098	MVAST4963
O_type	wzy	O21	100.0	1083 / 1083	contig00001 len=497272 cov=23.6 corr=0 origname=NODE_1_length_497272_cov_23.622141_pilon sw=shovill-spades/1.0.9 date=20210127	471876..472958	EU694098	MVAST4963
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=578309 cov=25.7 corr=2 origname=NODE_3_length_578309_cov_25.672977_pilon sw=shovill-spades/1.0.9 date=20210127	148650..150317	CP000247	SRR10535885
O_type	wzx	O21	100.0	1236 / 1236	contig00001 len=649987 cov=29.2 corr=0 origname=NODE_1_length_649987_cov_29.182829_pilon sw=shovill-spades/1.0.9 date=20210127	27702..28937	EU694098	SRR10535885
O_type	wzy	O21	99.91	1083 / 1083	contig00001 len=649987 cov=29.2 corr=0 origname=NODE_1_length_649987_cov_29.182829_pilon sw=shovill-spades/1.0.9 date=20210127	24331..25413	EU694098	SRR10535885
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=476238 cov=28.5 corr=0 origname=NODE_1_length_476238_cov_28.543813_pilon sw=shovill-spades/1.0.9 date=20210126	70276..71943	CP000247	MVC206
O_type	wzx	O88	100.0	1458 / 1458	contig00002 len=470179 cov=28.6 corr=0 origname=NODE_2_length_470179_cov_28.615770_pilon sw=shovill-spades/1.0.9 date=20210126	435554..437011	AB812037	MVC206
O_type	wzy	O88	100.0	1275 / 1275	contig00002 len=470179 cov=28.6 corr=0 origname=NODE_2_length_470179_cov_28.615770_pilon sw=shovill-spades/1.0.9 date=20210126	437940..439214	AB812037	MVC206
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1035310 cov=28.9 corr=0 origname=NODE_1_length_1035310_cov_28.909590_pilon sw=shovill-spades/1.0.9 date=20210126	427976..429643	CP000247	MVC107
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=1035310 cov=28.9 corr=0 origname=NODE_1_length_1035310_cov_28.909590_pilon sw=shovill-spades/1.0.9 date=20210126	601655..602893	AY568960	MVC107
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=1035310 cov=28.9 corr=0 origname=NODE_1_length_1035310_cov_28.909590_pilon sw=shovill-spades/1.0.9 date=20210126	599572..600759	AY568960	MVC107
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=496673 cov=21.8 corr=0 origname=NODE_3_length_496673_cov_21.841659_pilon sw=shovill-spades/1.0.9 date=20210126	67230..68897	CP000247	SRR8926896
O_type	wzx	O83	99.93	1443 / 1443	contig00002 len=524045 cov=23.6 corr=0 origname=NODE_2_length_524045_cov_23.578418_pilon sw=shovill-spades/1.0.9 date=20210126	429266..430708	AB812035	SRR8926896
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1187877 cov=46.0 corr=0 origname=NODE_1_length_1187877_cov_45.972412_pilon sw=shovill-spades/1.0.9 date=20210126	758416..760083	CP000247	SRR12017880
O_type	wzy	O2	98.03	963 / 963	contig00001 len=1187877 cov=46.0 corr=0 origname=NODE_1_length_1187877_cov_45.972412_pilon sw=shovill-spades/1.0.9 date=20210126	589878..590840	EU549863	SRR12017880
O_type	wzy	O2/O50	98.03	963 / 963	contig00001 len=1187877 cov=46.0 corr=0 origname=NODE_1_length_1187877_cov_45.972412_pilon sw=shovill-spades/1.0.9 date=20210126	589878..590840	EU549863	SRR12017880
O_type	wzx	O2/O50	98.65	1263 / 1263	contig00001 len=1187877 cov=46.0 corr=0 origname=NODE_1_length_1187877_cov_45.972412_pilon sw=shovill-spades/1.0.9 date=20210126	586904..588166	EU549863-AB811624	SRR12017880
O_type	wzx	O50	98.65	1263 / 1263	contig00001 len=1187877 cov=46.0 corr=0 origname=NODE_1_length_1187877_cov_45.972412_pilon sw=shovill-spades/1.0.9 date=20210126	586904..588166	KY115227	SRR12017880
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1164037 cov=29.5 corr=0 origname=NODE_1_length_1164037_cov_29.530602_pilon sw=shovill-spades/1.0.9 date=20210126	761769..763436	CP000247	ERR3330558
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1164037 cov=29.5 corr=0 origname=NODE_1_length_1164037_cov_29.530602_pilon sw=shovill-spades/1.0.9 date=20210126	592948..594390	AB812035	ERR3330558
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=343173 cov=8.0 corr=0 origname=NODE_3_length_343173_cov_8.035500_pilon sw=shovill-spades/1.0.9 date=20210127	186068..187735	CP000247	SRR11495793
O_type	wzy	O18	100.0	1191 / 1191	contig00007 len=242066 cov=8.1 corr=0 origname=NODE_7_length_242066_cov_8.088550_pilon sw=shovill-spades/1.0.9 date=20210127	10320..11510	GU299793	SRR11495793
O_type	wzy	O18ac	100.0	1146 / 1146	contig00007 len=242066 cov=8.1 corr=0 origname=NODE_7_length_242066_cov_8.088550_pilon sw=shovill-spades/1.0.9 date=20210127	10365..11510	AB811603	SRR11495793
O_type	wzx	O18ac	100.0	1248 / 1248	contig00007 len=242066 cov=8.1 corr=0 origname=NODE_7_length_242066_cov_8.088550_pilon sw=shovill-spades/1.0.9 date=20210127	9016..10263	GU299793	SRR11495793
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=611567 cov=27.2 corr=0 origname=NODE_2_length_611567_cov_27.230520_pilon sw=shovill-spades/1.0.9 date=20210126	181924..183591	CP000247	MVC552
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=679586 cov=28.1 corr=0 origname=NODE_1_length_679586_cov_28.078923_pilon sw=shovill-spades/1.0.9 date=20210126	52221..53459	AY568960	MVC552
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=679586 cov=28.1 corr=0 origname=NODE_1_length_679586_cov_28.078923_pilon sw=shovill-spades/1.0.9 date=20210126	50138..51325	AY568960	MVC552
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=602608 cov=15.6 corr=0 origname=NODE_3_length_602608_cov_15.559111_pilon sw=shovill-spades/1.0.9 date=20210127	182006..183673	CP000247	SRR10302014
O_type	wzx	O4	100.0	1239 / 1239	contig00002 len=638841 cov=16.9 corr=0 origname=NODE_2_length_638841_cov_16.914044_pilon sw=shovill-spades/1.0.9 date=20210127	52355..53593	AY568960	SRR10302014
O_type	wzy	O4	100.0	1188 / 1188	contig00002 len=638841 cov=16.9 corr=0 origname=NODE_2_length_638841_cov_16.914044_pilon sw=shovill-spades/1.0.9 date=20210127	50272..51459	AY568960	SRR10302014
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=611621 cov=28.5 corr=0 origname=NODE_1_length_611621_cov_28.530556_pilon sw=shovill-spades/1.0.9 date=20210126	427977..429644	CP000247	MVC324
O_type	wzx	O4	99.92	1239 / 1239	contig00002 len=597395 cov=28.9 corr=0 origname=NODE_2_length_597395_cov_28.876272_pilon sw=shovill-spades/1.0.9 date=20210126	583663..584901	AY568960	MVC324
O_type	wzy	O4	100.0	1188 / 1188	contig00002 len=597395 cov=28.9 corr=0 origname=NODE_2_length_597395_cov_28.876272_pilon sw=shovill-spades/1.0.9 date=20210126	585797..586984	AY568960	MVC324
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1215231 cov=36.9 corr=0 origname=NODE_1_length_1215231_cov_36.933944_pilon sw=shovill-spades/1.0.9 date=20210126	751023..752690	CP000247	SRR10258181
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1215231 cov=36.9 corr=0 origname=NODE_1_length_1215231_cov_36.933944_pilon sw=shovill-spades/1.0.9 date=20210126	582193..583635	AB812035	SRR10258181
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1179062 cov=29.8 corr=0 origname=NODE_1_length_1179062_cov_29.846840_pilon sw=shovill-spades/1.0.9 date=20210126	750725..752392	CP000247	MVC262
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1179062 cov=29.8 corr=0 origname=NODE_1_length_1179062_cov_29.846840_pilon sw=shovill-spades/1.0.9 date=20210126	581908..583350	AB812035	MVC262
H_type	fliC	H28	100.0	1740 / 1740	contig00001 len=516617 cov=35.2 corr=0 origname=NODE_1_length_516617_cov_35.203262_pilon sw=shovill-spades/1.0.9 date=20210126	415957..417696	AAJT02000052	SRR7889221
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=480594 cov=25.0 corr=0 origname=NODE_2_length_480594_cov_24.950261_pilon sw=shovill-spades/1.0.9 date=20210127	52145..53812	CP000247	SRR12744027
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=720050 cov=26.1 corr=0 origname=NODE_1_length_720050_cov_26.133931_pilon sw=shovill-spades/1.0.9 date=20210127	94783..96225	AB812035	SRR12744027
H_type	fliC	H31	100.0	1668 / 1668	contig00017 len=91382 cov=30.0 corr=0 origname=NODE_17_length_91382_cov_30.032338_pilon sw=shovill-spades/1.0.9 date=20210126	21210..22877	CP000247	SRR9301025
O_type	wzx	O15	100.0	1245 / 1245	contig00001 len=586410 cov=36.8 corr=0 origname=NODE_1_length_586410_cov_36.849603_pilon sw=shovill-spades/1.0.9 date=20210126	583097..584341	AY647261	SRR9301025
O_type	wzy	O15	100.0	1037 / 1179	contig00001 len=586410 cov=36.8 corr=0 origname=NODE_1_length_586410_cov_36.849603_pilon sw=shovill-spades/1.0.9 date=20210126	585374..586410	AY647261	SRR9301025
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=186365 cov=15.4 corr=0 origname=NODE_8_length_186365_cov_15.437922_pilon sw=shovill-spades/1.0.9 date=20210127	47896..49563	CP000247	SRR7251021
O_type	wzx	O4	99.92	1239 / 1239	contig00055 len=12800 cov=15.0 corr=0 origname=NODE_55_length_12800_cov_15.004005_pilon sw=shovill-spades/1.0.9 date=20210127	2552..3790	AY568960	SRR7251021
O_type	wzy	O4	100.0	1188 / 1188	contig00055 len=12800 cov=15.0 corr=0 origname=NODE_55_length_12800_cov_15.004005_pilon sw=shovill-spades/1.0.9 date=20210127	469..1656	AY568960	SRR7251021
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=195541 cov=29.1 corr=0 origname=NODE_8_length_195541_cov_29.086610_pilon sw=shovill-spades/1.0.9 date=20210126	19548..21215	CP000247	ERR4254378
O_type	wzx	O83	100.0	1443 / 1443	contig00008 len=195541 cov=29.1 corr=0 origname=NODE_8_length_195541_cov_29.086610_pilon sw=shovill-spades/1.0.9 date=20210126	188612..190054	AB812035	ERR4254378
O_type	wzy	O83	100.0	1236 / 1236	contig00008 len=195541 cov=29.1 corr=0 origname=NODE_8_length_195541_cov_29.086610_pilon sw=shovill-spades/1.0.9 date=20210126	187380..188615	AB812035	ERR4254378
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=867852 cov=29.7 corr=0 origname=NODE_2_length_867852_cov_29.696395_pilon sw=shovill-spades/1.0.9 date=20210126	438112..439779	CP000247	SRR10429302
O_type	wzx	O83	99.93	1443 / 1443	contig00002 len=867852 cov=29.7 corr=0 origname=NODE_2_length_867852_cov_29.696395_pilon sw=shovill-spades/1.0.9 date=20210126	269286..270728	AB812035	SRR10429302
H_type	fliC	H31	100.0	1668 / 1668	contig00005 len=223022 cov=23.6 corr=0 origname=NODE_5_length_223022_cov_23.587661_pilon sw=shovill-spades/1.0.9 date=20210127	155465..157132	CP000247	MVAST2992
O_type	wzy	O18	100.0	1191 / 1191	contig00027 len=69343 cov=24.3 corr=0 origname=NODE_27_length_69343_cov_24.264314_pilon sw=shovill-spades/1.0.9 date=20210127	59628..60818	GU299793	MVAST2992
O_type	wzy	O18ac	100.0	1146 / 1146	contig00027 len=69343 cov=24.3 corr=0 origname=NODE_27_length_69343_cov_24.264314_pilon sw=shovill-spades/1.0.9 date=20210127	59673..60818	AB811603	MVAST2992
O_type	wzx	O18ac	100.0	1248 / 1248	contig00027 len=69343 cov=24.3 corr=0 origname=NODE_27_length_69343_cov_24.264314_pilon sw=shovill-spades/1.0.9 date=20210127	58324..59571	GU299793	MVAST2992
H_type	fliC	H28	100.0	1740 / 1740	contig00002 len=528622 cov=21.3 corr=0 origname=NODE_2_length_528622_cov_21.308745_pilon sw=shovill-spades/1.0.9 date=20210127	427978..429717	AAJT02000052	MVAST6977
O_type	wzy	O117	100.0	1323 / 1323	contig00003 len=437750 cov=23.5 corr=0 origname=NODE_3_length_437750_cov_23.520132_pilon sw=shovill-spades/1.0.9 date=20210127	406334..407656	EU694096	MVAST6977
O_type	wzx	O117	100.0	1218 / 1218	contig00003 len=437750 cov=23.5 corr=0 origname=NODE_3_length_437750_cov_23.520132_pilon sw=shovill-spades/1.0.9 date=20210127	405124..406341	EU694096	MVAST6977
H_type	fliC	H31	100.0	1668 / 1668	contig00016 len=82936 cov=23.1 corr=0 origname=NODE_16_length_82936_cov_23.097300_pilon sw=shovill-spades/1.0.9 date=20210126	19383..21050	CP000247	SRR11484681
O_type	wzx	O83	100.0	1443 / 1443	contig00020 len=60173 cov=26.1 corr=0 origname=NODE_20_length_60173_cov_26.070673_pilon sw=shovill-spades/1.0.9 date=20210126	5500..6942	AB812035	SRR11484681
O_type	wzy	O83	100.0	1236 / 1236	contig00020 len=60173 cov=26.1 corr=0 origname=NODE_20_length_60173_cov_26.070673_pilon sw=shovill-spades/1.0.9 date=20210126	6939..8174	AB812035	SRR11484681
H_type	fliC	H31	100.0	1668 / 1668	contig00048 len=33439 cov=21.2 corr=0 origname=NODE_48_length_33439_cov_21.228446_pilon sw=shovill-spades/1.0.9 date=20210127	7091..8758	CP000247	SRR12699128
H_type	fliC	H14	96.79	1653 / 1653	contig00001 len=498591 cov=26.2 corr=0 origname=NODE_1_length_498591_cov_26.153627_pilon sw=shovill-spades/1.0.9 date=20210127	103875..105527	AY249998	MVC416
O_type	wzx	O21	99.92	1236 / 1236	contig00002 len=461568 cov=26.5 corr=0 origname=NODE_2_length_461568_cov_26.545050_pilon sw=shovill-spades/1.0.9 date=20210127	430137..431372	EU694098	MVC416
O_type	wzy	O21	100.0	770 / 1083	contig00002 len=461568 cov=26.5 corr=0 origname=NODE_2_length_461568_cov_26.545050_pilon sw=shovill-spades/1.0.9 date=20210127	433938..434707	EU694098	MVC416
H_type	fliC	H31	100.0	1668 / 1668	contig00084 len=17141 cov=16.0 corr=0 origname=NODE_84_length_17141_cov_16.005701_pilon sw=shovill-spades/1.0.9 date=20210127	6570..8237	CP000247	SRR8397437
O_type	wzx	O15	100.0	955 / 1245	contig00180 len=1114 cov=2.2 corr=0 origname=NODE_180_length_1114_cov_2.212766_pilon sw=shovill-spades/1.0.9 date=20210127	160..1114	AY647261	SRR8397437
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=611451 cov=30.1 corr=0 origname=NODE_1_length_611451_cov_30.120576_pilon sw=shovill-spades/1.0.9 date=20210126	427778..429445	CP000247	MVC94
O_type	wzx	O4	100.0	1239 / 1239	contig00003 len=526987 cov=31.1 corr=0 origname=NODE_3_length_526987_cov_31.106509_pilon sw=shovill-spades/1.0.9 date=20210126	473529..474767	AY568960	MVC94
O_type	wzy	O4	100.0	1188 / 1188	contig00003 len=526987 cov=31.1 corr=0 origname=NODE_3_length_526987_cov_31.106509_pilon sw=shovill-spades/1.0.9 date=20210126	475663..476850	AY568960	MVC94
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=542965 cov=22.7 corr=0 origname=NODE_3_length_542965_cov_22.710943_pilon sw=shovill-spades/1.0.9 date=20210127	521709..523376	CP000247	SRR9914210
O_type	wzx	O83	100.0	1443 / 1443	contig00003 len=542965 cov=22.7 corr=0 origname=NODE_3_length_542965_cov_22.710943_pilon sw=shovill-spades/1.0.9 date=20210127	352879..354321	AB812035	SRR9914210
O_type	wzy	O83	100.0	1236 / 1236	contig00003 len=542965 cov=22.7 corr=0 origname=NODE_3_length_542965_cov_22.710943_pilon sw=shovill-spades/1.0.9 date=20210127	354318..355553	AB812035	SRR9914210
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=628194 cov=24.3 corr=0 origname=NODE_1_length_628194_cov_24.346256_pilon sw=shovill-spades/1.0.9 date=20210127	104983..106650	CP000247	SRR7690633
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=628194 cov=24.3 corr=0 origname=NODE_1_length_628194_cov_24.346256_pilon sw=shovill-spades/1.0.9 date=20210127	273988..275430	AB812035	SRR7690633
H_type	fliC	H31	100.0	1668 / 1668	contig00063 len=31565 cov=2.5 corr=0 origname=NODE_63_length_31565_cov_2.520252_pilon sw=shovill-spades/1.0.9 date=20210127	27403..29070	CP000247	MVC48
O_type	wzx	O4	100.0	1239 / 1239	contig00014 len=73599 cov=2.6 corr=3 origname=NODE_14_length_73599_cov_2.551940_pilon sw=shovill-spades/1.0.9 date=20210127	10394..11632	AY568960	MVC48
O_type	wzy	O4	100.0	1188 / 1188	contig00014 len=73599 cov=2.6 corr=3 origname=NODE_14_length_73599_cov_2.551940_pilon sw=shovill-spades/1.0.9 date=20210127	12528..13715	AY568960	MVC48
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=490846 cov=29.7 corr=0 origname=NODE_4_length_490846_cov_29.741166_pilon sw=shovill-spades/1.0.9 date=20210126	427992..429659	CP000247	SRR10823741
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=684185 cov=28.9 corr=0 origname=NODE_1_length_684185_cov_28.912718_pilon sw=shovill-spades/1.0.9 date=20210126	582177..583619	AB812035	SRR10823741
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=603894 cov=34.6 corr=0 origname=NODE_1_length_603894_cov_34.648396_pilon sw=shovill-spades/1.0.9 date=20210125	174457..176124	CP000247	SRR11668363
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=603894 cov=34.6 corr=0 origname=NODE_1_length_603894_cov_34.648396_pilon sw=shovill-spades/1.0.9 date=20210125	5588..7030	AB812035	SRR11668363
H_type	fliC	H31	100.0	1668 / 1668	contig00007 len=237282 cov=26.0 corr=0 origname=NODE_7_length_237282_cov_26.008787_pilon sw=shovill-spades/1.0.9 date=20210126	19488..21155	CP000247	MVC507
O_type	wzx	O4	100.0	1239 / 1239	contig00007 len=237282 cov=26.0 corr=0 origname=NODE_7_length_237282_cov_26.008787_pilon sw=shovill-spades/1.0.9 date=20210126	193152..194390	AY568960	MVC507
O_type	wzy	O4	100.0	1188 / 1188	contig00007 len=237282 cov=26.0 corr=0 origname=NODE_7_length_237282_cov_26.008787_pilon sw=shovill-spades/1.0.9 date=20210126	191069..192256	AY568960	MVC507
H_type	fliC	H31	100.0	1668 / 1668	contig00010 len=150601 cov=23.1 corr=0 origname=NODE_10_length_150601_cov_23.068609_pilon sw=shovill-spades/1.0.9 date=20210126	19592..21259	CP000247	J25
O_type	wzx	O15	100.0	1245 / 1245	contig00002 len=657960 cov=26.9 corr=0 origname=NODE_2_length_657960_cov_26.851166_pilon sw=shovill-spades/1.0.9 date=20210126	624125..625369	AY647261	J25
O_type	wzy	O15	100.0	1179 / 1179	contig00002 len=657960 cov=26.9 corr=0 origname=NODE_2_length_657960_cov_26.851166_pilon sw=shovill-spades/1.0.9 date=20210126	626402..627580	AY647261	J25
H_type	fliC	H31	100.0	1668 / 1668	contig00035 len=30170 cov=28.7 corr=0 origname=NODE_35_length_30170_cov_28.719652_pilon sw=shovill-spades/1.0.9 date=20210126	22136..23803	CP000247	SRR1314466
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=645394 cov=26.4 corr=0 origname=NODE_1_length_645394_cov_26.411133_pilon sw=shovill-spades/1.0.9 date=20210126	255029..256696	CP000247	SRR1314405
O_type	wzx	O83	99.93	1443 / 1443	contig00001 len=645394 cov=26.4 corr=0 origname=NODE_1_length_645394_cov_26.411133_pilon sw=shovill-spades/1.0.9 date=20210126	5486..6928	AB812035	SRR1314405
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=192890 cov=13.2 corr=0 origname=NODE_8_length_192890_cov_13.169898_pilon sw=shovill-spades/1.0.9 date=20210127	148037..149704	CP000247	SRR10597531
O_type	wzx	O15	100.0	1245 / 1245	contig00003 len=369292 cov=14.6 corr=0 origname=NODE_3_length_369292_cov_14.550030_pilon sw=shovill-spades/1.0.9 date=20210127	367344..368588	AY647261	SRR10597531
O_type	wzy	O15	99.15	1179 / 1179	contig00032 len=32291 cov=15.6 corr=1 origname=NODE_32_length_32291_cov_15.572410_pilon sw=shovill-spades/1.0.9 date=20210127	30976..32154	AY647261	SRR10597531
H_type	fliC	H31	100.0	1668 / 1668	contig00023 len=100431 cov=24.1 corr=0 origname=NODE_23_length_100431_cov_24.084074_pilon sw=shovill-spades/1.0.9 date=20210126	42763..44430	CP000247	SRR9617625
O_type	wzy	O6	100.0	1344 / 1344	contig00046 len=12488 cov=21.8 corr=0 origname=NODE_46_length_12488_cov_21.818219_pilon sw=shovill-spades/1.0.9 date=20210126	634..1977	AJ426423	SRR9617625
H_type	fliC	H31	100.0	1668 / 1668	contig00012 len=160796 cov=23.6 corr=0 origname=NODE_12_length_160796_cov_23.589211_pilon sw=shovill-spades/1.0.9 date=20210126	53815..55482	CP000247	SRR10963348
